city,district,district1,district2,name,area,month,day,price,floor,built,road_name
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,160.74,200603,10,"150,500",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,160.74,200603,11,"143,000",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200603,13,"120,000",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,15,"57,000",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200603,15,"76,500",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,16,"52,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,18,"56,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.05,200603,21,"78,000",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200603,21,"58,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200603,22,"80,000",11,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200603,27,"56,300",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200603,27,"118,200",5,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200603,28,"80,000",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200604,2,"48,000",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200604,3,"55,750",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200604,6,"58,500",6,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200604,6,"59,500",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200604,12,"83,800",4,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.35,200604,13,"61,000",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200604,15,"59,900",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200604,26,"78,700",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.04,200604,26,"83,000",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200605,1,"86,000",10,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200605,16,"75,000",1,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.65,200605,16,"80,000",2,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,160.74,200605,17,"164,000",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,82.06,200605,27,"62,000",9,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,131.08,200606,6,"125,000",8,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200606,9,"60,000",3,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,96.04,200608,17,"85,500",7,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.39,200608,17,"62,000",12,1981,올림픽로4길 42
서울특별시 송파구 잠실동,101-1,0101,0001,우성아파트,80.78,200608,23,"59,500",1,1981,올림픽로4길 42
